time,hum_rh,temp
2024-11-18T02,10,23.3
2024-11-18T03,10,23.3
2024-11-18T04,10,23.3
2024-11-18T05,10,23.3
2024-11-18T06,10,23.2
2024-11-18T07,10,23.1
2024-11-18T08,10,23.2
2024-11-18T09,10,23.3
2024-11-18T10,10,23.8
2024-11-18T11,10,24.4
2024-11-18T12,10,24.8
2024-11-18T13,10,25.0
2024-11-18T14,10,25.2
2024-11-18T15,10,24.5
2024-11-18T16,10,23.5
2024-11-18T17,10,23.9
2024-11-18T18,10,24.2
2024-11-18T19,10,24.3
2024-11-18T20,10,24.3
2024-11-18T21,10,24.3
2024-11-18T22,10,24.1
2024-11-18T23,10,24.0
2024-11-19T00,10,23.9
2024-11-19T01,10,23.6
2024-11-19T02,10,23.6
2024-11-19T03,10,23.4
2024-11-19T04,10,23.3
2024-11-19T05,10,23.3
2024-11-19T06,10,23.1
2024-11-19T07,10,22.9
2024-11-19T08,10,22.9
2024-11-19T09,10,23.0
2024-11-19T10,12,23.4
2024-11-19T11,12,24.0
2024-11-19T12,10,24.2
2024-11-19T13,12,24.3
2024-11-19T14,10,24.3
2024-11-19T15,12,24.5
2024-11-19T16,12,24.5
2024-11-19T17,10,24.5
2024-11-19T18,12,24.5
2024-11-19T19,12,24.3
2024-11-19T20,10,24.1
2024-11-19T21,12,23.9
2024-11-19T22,10,23.5
2024-11-19T23,12,23.3
2024-11-20T00,12,23.2
2024-11-20T01,12,22.9
2024-11-20T02,12,22.8
2024-11-20T03,12,22.5
2024-11-20T04,15,22.4
2024-11-20T05,15,22.2
2024-11-20T06,10,22.1
2024-11-20T07,10,21.8
2024-11-20T08,10,21.6
2024-11-20T09,10,21.6
2024-11-20T10,15,22.1
2024-11-20T11,12,22.6
2024-11-20T12,12,23.2
2024-11-20T13,15,22.5
2024-11-20T14,15,21.6
2024-11-20T15,15,21.9
2024-11-20T16,15,21.3
2024-11-20T17,15,21.3
2024-11-20T18,10,21.6
2024-11-20T19,15,21.9
2024-11-20T20,15,22.1
2024-11-20T21,15,22.1
2024-11-20T22,15,21.9
2024-11-20T23,15,21.6
2024-11-21T00,15,21.6
2024-11-21T01,15,21.5
2024-11-21T02,17,21.4
2024-11-21T03,17,21.3
2024-11-21T04,17,21.3
2024-11-21T05,17,21.2
2024-11-21T06,17,21.1
2024-11-21T07,17,21.1
2024-11-21T08,17,20.9
2024-11-21T09,15,21.1
2024-11-21T10,17,21.3
2024-11-21T11,17,21.3
2024-11-21T12,20,21.3
2024-11-21T13,20,21.4
2024-11-21T14,17,21.4
2024-11-21T15,20,21.4
2024-11-21T16,20,21.3
2024-11-21T17,20,21.2
2024-11-21T18,22,21.2
2024-11-21T19,22,21.1
2024-11-21T20,20,21.0
2024-11-21T21,20,20.8
2024-11-21T22,22,20.5
2024-11-21T23,22,20.4
2024-11-22T00,22,20.3
2024-11-22T01,22,20.2
2024-11-22T02,24,20.1
2024-11-22T03,24,20.1
2024-11-22T04,24,20.0
2024-11-22T05,24,20.0
2024-11-22T06,24,19.8
2024-11-22T07,24,19.8
2024-11-22T08,24,19.6
2024-11-22T09,25,19.6
2024-11-22T10,25,19.6
2024-11-22T11,25,19.6
2024-11-22T12,25,19.8
2024-11-22T13,25,19.8
2024-11-22T14,25,19.6
2024-11-22T15,25,19.6
2024-11-22T16,25,19.5
2024-11-22T17,25,19.3
2024-11-22T18,25,19.2
2024-11-22T19,25,19.2
2024-11-22T20,25,19.2
2024-11-22T21,25,19.1
2024-11-22T22,25,19.2
2024-11-22T23,25,19.2
2024-11-23T00,25,19.2
2024-11-23T01,26,19.1
2024-11-23T02,26,19.1
2024-11-23T03,26,19.1
2024-11-23T04,26,19.0
2024-11-23T05,26,19.0
2024-11-23T06,26,18.9
2024-11-23T07,25,18.9
2024-11-23T08,26,18.8
2024-11-23T09,26,18.8
2024-11-23T10,26,18.6
2024-11-23T11,26,18.6
2024-11-23T12,26,18.6
2024-11-23T13,26,18.6
2024-11-23T14,26,18.6
2024-11-23T15,26,18.6
2024-11-23T16,26,18.6
2024-11-23T17,26,18.5
2024-11-23T18,26,18.5
2024-11-23T19,26,18.5
2024-11-23T20,26,18.5
2024-11-23T21,26,18.3
2024-11-23T22,26,18.3
2024-11-23T23,26,18.3
2024-11-24T00,26,18.2
2024-11-24T01,26,18.1
2024-11-24T02,26,18.1
2024-11-24T03,26,18.0
2024-11-24T04,27,17.9
2024-11-24T05,27,17.8
2024-11-24T06,27,17.8
2024-11-24T07,27,17.6
2024-11-24T08,27,17.6
2024-11-24T09,27,17.6
2024-11-24T10,27,17.5
2024-11-24T11,27,17.9
2024-11-24T12,27,17.9
2024-11-24T13,28,18.0
2024-11-24T14,28,18.1
2024-11-24T15,28,18.1
2024-11-24T16,28,18.1
2024-11-24T17,28,18.1
2024-11-24T18,28,18.0
2024-11-24T19,28,17.9
2024-11-24T20,28,17.9
2024-11-24T21,28,17.8
2024-11-24T22,28,17.8
2024-11-24T23,28,17.6
2024-11-25T00,28,17.6
2024-11-25T01,30,17.5
2024-11-25T02,30,17.5
2024-11-25T03,30,17.4
2024-11-25T04,30,17.3
2024-11-25T05,30,17.3
2024-11-25T06,30,17.1
2024-11-25T07,30,17.1
2024-11-25T08,30,17.1
2024-11-25T09,30,17.5
2024-11-25T10,30,18.5
2024-11-25T11,30,19.3
2024-11-25T12,30,19.9
2024-11-25T13,30,20.5
2024-11-25T14,30,20.8
